song_id,gain_vocals,gain_drums,gain_bass,gain_instruments,eq_vocals_low,eq_vocals_mid,eq_vocals_high,eq_drums_low,eq_drums_mid,eq_drums_high,eq_bass_low,eq_bass_mid,eq_bass_high,eq_instruments_low,eq_instruments_mid,eq_instruments_high,comp_vocals,comp_drums,comp_bass,comp_instruments,pan_vocals,pan_drums,pan_bass,pan_instruments,pred_before_loudness,pred_after_loudness,pred_before_clarity,pred_after_clarity,pred_before_spectral_balance,pred_after_spectral_balance,pred_before_perceptual_quality,pred_after_perceptual_quality
0,-3.0110371476633,-7.556809707873128,-5.719063590338257,4.144871861013552,0.8639505394031133,-1.2763737566706954,1.7790834489338645,-5.534406543253351,2.6432150873687466,4.962936136832338,-1.5163101783996176,0.3963667378590667,1.8516758584086723,5.691811646452969,-5.121898814783975,-0.0039570752513586,1.0396144810340764,8.316529317501592,6.8112160160458455,4.479020863583434,0.4599966219799407,0.545003931369413,0.5292719885699473,0.0464941504799596,-17.2529,-17.2529,0.2642,0.2642,0.2213,0.2213,87.3345,87.3345
1,8.38498196333432,-0.9980014684355649,-4.733826009399688,6.454933801725417,1.9524217869606986,0.0572623759494002,-2.3981263998974414,-5.214195487154219,4.2081353445000005,2.869354939584273,-1.4206876707801164,-3.3315281852865146,-5.985556633091785,-3.120804765920126,-5.5713509986213285,5.50436367342371,1.4768365818367435,4.1345910611767955,1.8530184442534527,3.924394600836475,-0.25496792581097827,-0.9999037522113764,0.47379239871806245,0.9975857017110764,-18.7348,-18.8521,0.2449,0.4874,0.3075,0.487,61.1929,80.8052
2,5.567854603473723,8.9507000610338,9.75010993250488,-5.9887704289800245,3.1219311574819084,4.254568718426164,4.468734760257778,3.974949661079311,-4.850949616039708,2.698923262033013,-3.8861530499656793,1.0949148690073691,-3.092042262555132,5.371819836973067,1.823684567075528,0.752001367875998,5.250371147156938,9.001674250720477,5.247181989231288,1.5849123430489158,-0.3067206112602276,0.5779166700206921,-0.0459001245662356,-0.4374430998537784,-20.7842,-20.7842,0.5507,0.5507,0.4815,0.4815,88.3586,88.3586
3,2.9778401439628577,4.928114223322133,-5.616987713184565,0.4785008528847903,-5.999631373855412,-4.366493647807486,3.3685067722371382,4.546282352128534,2.841115327515569,-1.8711421500749585,0.9057938928280693,-4.630758523621207,5.323995187704548,-2.3982529132762807,0.8662323370672125,-4.148515346768248,3.7494513005529315,6.495634440249122,4.6570995497568255,1.008990930402484,-0.00414918154874333,-0.9999037522113764,-0.061210790597636455,0.9975857017110764,-16.333,-18.2287,0.7668,0.472,0.439,0.5242,70.99,80.0903
4,-9.231204533860407,8.272023641704923,-4.259574962655327,4.046486502262059,-5.999631373855412,3.0187459689016816,-4.691362057392617,0.07761398855696822,3.1838739231587976,0.23089771137064763,-0.25564633236933654,-4.725540563811648,-1.662963317689809,-4.124662371090425,3.3103920030456333,-1.4049617698755967,9.99234610100793,9.974465328515112,6.181290402474004,7.473586146467299,-0.520979482115534,-0.9999037522113764,0.6299147974723254,0.9975857017110764,-16.082,-18.8318,0.4806,0.4279,0.4594,0.5021,74.9287,78.6084
5,-5.824366852308402,1.1742390075227593,4.815127386912405,9.876729450464165,-4.679514279128758,-5.92579412830924,5.993528172716077,0.9959135597338262,0.24126228206941835,-3.8702822411480526,2.919241459516342,3.794880144878437,3.2703747744107416,5.0925658379551155,2.9914190794038564,-1.8877827469011974,1.002272090415059,9.054805414301615,1.0055047164002833,2.373748114835953,-0.99495647659436,0.9998019540184632,0.7811072520588374,0.09771778491024485,-18.7102,-18.5178,0.2304,0.4209,0.6936,0.4607,61.3497,78.444
6,-10.605993307963214,4.614637548428458,-1.206243781187041,9.746089451550256,-1.6671032839075537,3.3215812465035697,0.220385560023848,0.4026532026429539,3.07846300194368,-2.386091762574656,-5.6146850342153005,1.697884428771454,-0.8549830999037482,5.76648364837625,-1.339597467941429,-2.9056289562618614,5.253982564283603,4.945683991233427,4.078691163739637,7.535630098000137,0.9224158024457194,0.89417664950539,0.2892840132126983,-0.4066066047438277,-17.9777,-17.9777,0.2971,0.2971,0.2035,0.2035,87.6998,87.6998
7,8.788227498598445,8.380695637567662,6.64105336692435,-11.708237484542718,-1.098533023098209,4.170571596656837,-5.12521857754014,-5.997107943778385,-2.9116144991803914,0.938757434034164,1.7264151306615163,4.523027182450164,4.437748389767076,5.58750867405111,1.1569203190157555,0.7848407034060507,1.5502386701100126,4.430289837636808,9.376654567261712,7.140584095873278,-0.766906624569605,-0.8504843065564394,0.8138920062973278,0.8532426971438445,-18.5394,-18.5394,0.3819,0.3819,0.5791,0.5791,82.7877,82.7877
8,2.426760281837012,-6.007967787379537,-10.431212218454752,4.176478057411025,2.156366602000144,-3.818188165951935,1.5219948529808072,-3.1050679675436657,2.322118044555845,-0.0224439097922353,3.155386542138734,2.1126720601590385,-0.6125347502611493,-4.068755865570979,0.0083595335437181,0.0475893579047213,5.698435745541326,9.39530813473231,6.2066061316850085,2.21826215584232,0.4191354327961218,-0.9138315676862714,0.1327636012204147,-0.1417533644362236,-19.3337,-19.3337,0.396,0.396,0.2044,0.2044,85.6216,85.6216
9,4.9937418671050935,-0.2538008725646286,-0.2982913518387775,-10.755940821126504,-5.319834814009975,-0.8358416115335947,-2.9616131158462773,-3.5012182967014267,-5.523465509133033,0.954436429799773,3.1138388302596844,-1.7161956943186445,5.750979344423824,-3.82502632720614,5.779327867709196,-3.562079539629493,4.419605126326676,7.436482610845939,2.6106563542150094,2.2859914077304047,-0.539311688735771,-0.6868986501442886,0.5995723829202124,0.8777393478186288,-20.3934,-20.3934,0.2112,0.2112,0.2188,0.2188,81.5423,81.5423
